	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_128_7.txt	128	7	15.09916	15.74103	15.10739	12.33352	13.36258	15.14633	13.27191	14.31843	13.60131	13.37296	14.35009	13.0391	16.0247	12.91655	13.72858	15.64293	12.8227	13.66272	14.52188	11.58264	13.9907	13.20801	14.65654	14.61647	14.98909	14.54958	14.3651	15.14103	12.33176	12.39748
alpha_rarefaction_128_8.txt	128	8	15.00815	14.48156	13.50214	14.01775	13.99337	14.33703	13.94513	14.48423	13.88205	13.90582	15.01444	14.38677	13.71694	12.90895	15.05111	14.62413	14.03178	15.44581	14.52996	14.17834	14.85646	14.11182	14.42135	16.04022	14.97614	13.74581	13.52479	14.62714	13.17755	12.56839
alpha_rarefaction_128_9.txt	128	9	13.75413	15.26037	13.59571	14.46453	14.35193	13.42631	13.75656	13.1795	14.6386	14.56031	13.67934	13.83563	14.37893	13.20689	13.85514	15.47441	13.75017	14.74095	14.59794	14.75826	14.45872	12.40338	13.79126	15.50124	15.05357	13.76502	13.75484	14.5524	12.82104	13.50997
alpha_rarefaction_187_0.txt	187	0	18.77874	16.9213	16.6405	17.55933	16.85715	17.52603	17.4739	17.4289	15.78354	18.37897	18.46987	16.36375	17.5635	15.17137	16.09448	18.63131	16.57636	18.55592	16.56817	17.43136	18.58757	16.69374	16.16352	18.62457	18.14525	17.7618	17.05723	18.42531	15.51678	15.59544
alpha_rarefaction_187_1.txt	187	1	16.95257	16.43698	17.11504	18.86276	16.4491	18.23121	16.54321	15.77751	17.3043	16.40166	18.16624	17.7636	17.67864	16.12935	17.3042	17.55918	18.68225	16.84502	17.10941	16.23954	18.0485	16.47973	17.57831	17.85395	17.99813	16.36938	17.19847	17.35124	16.56176	16.06675
alpha_rarefaction_187_2.txt	187	2	18.22121	17.81577	16.60631	16.27831	16.31048	17.50371	17.23833	17.10374	16.32153	17.81422	16.8983	16.07935	17.98291	17.4095	16.96551	17.71361	16.08806	18.41799	17.68012	17.18402	18.03668	15.08355	16.52165	19.08793	17.41439	16.91777	15.66546	16.92509	16.02693	13.48325
alpha_rarefaction_187_3.txt	187	3	17.07792	17.88263	17.03228	16.67746	15.91901	15.99917	16.83989	17.07144	16.48929	15.06329	18.93182	16.83567	18.23203	15.18477	16.48398	18.00871	16.56637	18.67788	16.94748	17.81254	19.75124	15.99457	17.65935	19.74098	17.4923	16.97769	16.33946	17.14831	16.88126	16.335
alpha_rarefaction_187_4.txt	187	4	17.56035	16.03443	17.51751	18.62006	15.69073	17.51824	15.41076	17.06034	16.50905	19.58771	16.87685	17.20992	16.48119	15.5183	16.33619	19.55541	17.88969	17.3918	18.30642	16.9709	17.34917	16.01913	17.65638	17.19758	16.70805	18.68648	17.66281	17.97899	16.12969	16.82108
alpha_rarefaction_187_5.txt	187	5	18.48723	18.11974	16.5095	17.77512	16.55733	16.49149	17.54655	16.5997	18.43094	18.33533	19.1195	16.74969	17.98822	16.76205	18.03022	17.83706	16.736	17.29104	16.5562	16.44309	18.66619	18.22631	16.97652	19.70241	18.66236	17.49755	18.78976	18.06404	16.08821	15.55956
alpha_rarefaction_187_6.txt	187	6	17.74353	18.24282	15.37847	17.20771	17.67849	14.79268	16.45596	16.44733	17.16934	17.06615	18.33494	17.5974	17.42446	16.9398	17.22003	17.4204	17.31613	17.30546	17.57498	17.23438	18.03768	15.09278	17.70928	19.31802	19.36996	16.09298	16.76736	17.48463	16.63006	15.4313
