	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_246_7.txt	246	7	821.5	445.896551724	390.125	614.0	454.24	570.0	442.551724138	438.7	575.625	627.652173913	595.37037037	398.941176471	733.166666667	523.142857143	604.4	597.730769231	560.0	596.454545455	453.75	508.714285714	484.0	393.65625	432.193548387	714.545454545	491.4375	772.166666667	582.416666667	669.772727273	591.789473684	495.5
alpha_rarefaction_246_8.txt	246	8	790.142857143	641.217391304	579.416666667	504.538461538	719.0	660.136363636	475.137931034	500.035714286	574.476190476	557.434782609	650.0	714.55	560.64	487.538461538	637.0	754.0	855.071428571	463.2	779.052631579	522.12	527.076923077	628.0	474.107142857	634.230769231	515.129032258	763.055555556	909.428571429	608.142857143	398.777777778	365.0
alpha_rarefaction_246_9.txt	246	9	528.451612903	600.6	545.884615385	563.260869565	447.576923077	699.894736842	511.615384615	653.545454545	435.615384615	562.166666667	684.956521739	471.772727273	430.096774194	388.125	513.730769231	671.869565217	523.12	782.75	597.043478261	573.476190476	545.363636364	369.4375	741.789473684	617.25	898.176470588	599.3	438.7	488.37037037	680.65	429.55
alpha_rarefaction_305_0.txt	305	0	636.277777778	372.575	836.565217391	621.896551724	545.535714286	562.0	424.136363636	685.363636364	610.857142857	826.0	641.03030303	630.677419355	895.217391304	520.0	513.323529412	601.571428571	712.933333333	704.25	633.689655172	468.0	591.59375	545.0	723.652173913	819.076923077	621.6	536.9375	701.107142857	716.25	518.27027027	494.916666667
alpha_rarefaction_305_1.txt	305	1	646.357142857	584.0	498.0	656.533333333	720.652173913	754.125	590.6875	539.121212121	542.222222222	591.0	823.04	616.896551724	649.451612903	617.444444444	634.03030303	933.12	493.090909091	479.418604651	596.323529412	492.027777778	1012.55	516.724137931	692.833333333	1106.9	701.363636364	597.107142857	533.636363636	715.807692308	562.034482759	438.130434783
alpha_rarefaction_305_2.txt	305	2	871.25	631.5	530.294117647	564.857142857	575.5	626.25	481.0	609.096774194	480.027777778	637.137931034	899.75	742.64	764.75	399.277777778	802.444444444	768.44	878.791666667	553.5	677.551724138	855.24	540.153846154	607.24137931	609.24137931	696.214285714	842.04	698.181818182	454.692307692	773.12	548.535714286	452.884615385
alpha_rarefaction_305_3.txt	305	3	553.166666667	917.2	652.137931034	443.763157895	687.84	616.444444444	491.717948718	559.783783784	618.076923077	728.384615385	551.166666667	577.666666667	720.0	574.333333333	729.64	571.777777778	642.964285714	536.885714286	592.7	1002.33333333	785.848484848	459.171428571	910.473684211	596.416666667	741.777777778	543.161290323	736.107142857	902.913043478	594.888888889	437.090909091
alpha_rarefaction_305_4.txt	305	4	689.037037037	450.486486486	1141.2	469.029411765	695.291666667	907.4	402.8125	499.617647059	745.130434783	518.365853659	693.2	584.344827586	601.303030303	708.772727273	814.666666667	549.15	564.322580645	620.322580645	621.483870968	631.689655172	758.103448276	534.34375	574.090909091	857.37037037	969.142857143	801.434782609	687.037037037	827.0	557.885714286	496.04
alpha_rarefaction_305_5.txt	305	5	725.076923077	571.176470588	711.25	462.447368421	806.052631579	712.344827586	688.037037037	644.137931034	538.451612903	668.896551724	501.083333333	844.526315789	686.9375	528.84	765.037037037	440.775	546.903225806	530.636363636	570.193548387	842.125	649.620689655	526.129032258	1020.71428571	677.162162162	1017.31578947	632.785714286	641.357142857	580.0	650.0	509.037037037
alpha_rarefaction_305_6.txt	305	6	738.333333333	536.885714286	670.956521739	709.772727273	576.8125	578.75	526.285714286	570.885714286	605.454545455	567.533333333	633.263157895	652.607142857	836.565217391	588.517241379	772.12	569.459459459	567.615384615	577.794117647	628.275862069	587.833333333	631.263157895	486.848484848	864.275862069	609.181818182	770.037037037	619.896551724	510.0	698.935483871	609.5	581.130434783
alpha_rarefaction_305_7.txt	305	7	638.03030303	604.303030303	839.04	767.206896552	638.357142857	667.0	450.487179487	580.090909091	558.555555556	833.730769231	632.428571429	507.027027027	549.903225806	482.636363636	788.965517241	558.25	690.230769231	478.736842105	592.454545455	584.117647059	803.5	385.923076923	724.64	968.681818182	655.303030303	702.565217391	610.888888889	520.27027027	565.322580645	470.12
alpha_rarefaction_305_8.txt	305	8	747.037037037	447.466666667	487.717948718	583.848484848	497.026315789	594.0	457.777777778	632.0	545.5	623.59375	698.6	798.142857143	685.535714286	437.441176471	773.038461538	556.538461538	581.533333333	571.7	703.516129032	635.689655172	739.777777778	652.1	661.37037037	680.171428571	733.034482759	705.75	581.096774194	774.033333333	494.0	630.636363636
alpha_rarefaction_305_9.txt	305	9	625.75	523.757575758	466.090909091	884.791666667	814.0	764.0	493.0	499.384615385	548.535714286	626.0	590.277777778	726.64	697.724137931	639.652173913	625.275862069	727.5	553.677419355	579.692307692	789.230769231	655.607142857	604.032258065	599.032258065	582.032258065	605.675675676	672.794117647	685.357142857	585.344827586	790.130434783	564.322580645	394.222222222
alpha_rarefaction_364_0.txt	364	0	693.15	885.896551724	668.588235294	550.972972973	814.551724138	959.037037037	566.384615385	712.384615385	609.026315789	664.333333333	637.333333333	616.096774194	694.117647059	474.0	694.323529412	539.468085106	633.59375	805.6	571.1875	742.75	769.236842105	563.25	969.416666667	859.161290323	784.46875	844.833333333	647.277777778	671.588235294	688.5625	741.434782609
alpha_rarefaction_364_1.txt	364	1	894.551724138	562.1875	567.139534884	762.034482759	596.823529412	530.0	494.418604651	847.677419355	570.625	688.926829268	647.25	792.888888889	949.774193548	599.833333333	695.870967742	630.477272727	944.64	584.068181818	705.6	537.146341463	606.23255814	632.0	613.609756098	785.75	656.634146341	727.083333333	569.5	846.833333333	655.236842105	572.037037037
alpha_rarefaction_364_2.txt	364	2	838.2	554.153846154	621.666666667	538.5	763.322580645	740.034482759	458.557692308	678.405405405	546.0	551.022727273	629.571428571	700.666666667	588.142857143	824.545454545	657.236842105	645.317073171	573.333333333	644.5	772.193548387	698.666666667	596.591836735	569.029411765	677.794117647	851.6	818.0	611.53125	864.46875	775.666666667	597.5	550.307692308
